database,filename,height,width,dtype,stage3_equals_enhance,validation_error,raw_nfiq2,raw_error,step0_nfiq2,step0_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,step0_minus_raw,stage1_minus_step0,stage1_minus_raw,stage2_minus_stage1,stage2_minus_raw,stage3_minus_stage2,stage3_minus_raw
DB2_B,101_8.tif,560,296,uint8,True,,21.0,,21.0,,39.0,,29.0,,43.0,,0.0,18.0,18.0,-10.0,8.0,14.0,22.0
DB2_B,102_1.tif,560,296,uint8,True,,68.0,,68.0,,70.0,,73.0,,64.0,,0.0,2.0,2.0,3.0,5.0,-9.0,-4.0
DB2_B,102_2.tif,560,296,uint8,True,,63.0,,63.0,,64.0,,69.0,,58.0,,0.0,1.0,1.0,5.0,6.0,-11.0,-5.0
DB2_B,102_3.tif,560,296,uint8,True,,63.0,,63.0,,64.0,,70.0,,68.0,,0.0,1.0,1.0,6.0,7.0,-2.0,5.0
DB2_B,102_4.tif,560,296,uint8,True,,60.0,,60.0,,67.0,,67.0,,62.0,,0.0,7.0,7.0,0.0,7.0,-5.0,2.0
DB2_B,102_5.tif,560,296,uint8,True,,73.0,,73.0,,85.0,,84.0,,78.0,,0.0,12.0,12.0,-1.0,11.0,-6.0,5.0
DB2_B,102_6.tif,560,296,uint8,True,,66.0,,66.0,,64.0,,74.0,,58.0,,0.0,-2.0,-2.0,10.0,8.0,-16.0,-8.0
DB2_B,102_7.tif,560,296,uint8,True,,78.0,,78.0,,86.0,,65.0,,66.0,,0.0,8.0,8.0,-21.0,-13.0,1.0,-12.0
DB2_B,102_8.tif,560,296,uint8,True,,57.0,,57.0,,56.0,,57.0,,76.0,,0.0,-1.0,-1.0,1.0,0.0,19.0,19.0
DB2_B,103_1.tif,560,296,uint8,True,,56.0,,56.0,,61.0,,66.0,,65.0,,0.0,5.0,5.0,5.0,10.0,-1.0,9.0
DB2_B,103_2.tif,560,296,uint8,True,,48.0,,48.0,,53.0,,42.0,,48.0,,0.0,5.0,5.0,-11.0,-6.0,6.0,0.0
DB2_B,103_3.tif,560,296,uint8,True,,56.0,,56.0,,54.0,,70.0,,67.0,,0.0,-2.0,-2.0,16.0,14.0,-3.0,11.0
DB2_B,103_4.tif,560,296,uint8,True,,55.0,,55.0,,51.0,,51.0,,56.0,,0.0,-4.0,-4.0,0.0,-4.0,5.0,1.0
DB2_B,103_5.tif,560,296,uint8,True,,40.0,,40.0,,38.0,,35.0,,45.0,,0.0,-2.0,-2.0,-3.0,-5.0,10.0,5.0
DB2_B,103_6.tif,560,296,uint8,True,,48.0,,48.0,,51.0,,60.0,,60.0,,0.0,3.0,3.0,9.0,12.0,0.0,12.0
DB2_B,103_7.tif,560,296,uint8,True,,49.0,,49.0,,53.0,,57.0,,58.0,,0.0,4.0,4.0,4.0,8.0,1.0,9.0
DB2_B,103_8.tif,560,296,uint8,True,,38.0,,38.0,,40.0,,43.0,,46.0,,0.0,2.0,2.0,3.0,5.0,3.0,8.0
DB2_B,104_1.tif,560,296,uint8,True,,58.0,,58.0,,60.0,,59.0,,72.0,,0.0,2.0,2.0,-1.0,1.0,13.0,14.0
DB2_B,104_2.tif,560,296,uint8,True,,64.0,,64.0,,56.0,,56.0,,54.0,,0.0,-8.0,-8.0,0.0,-8.0,-2.0,-10.0
DB2_B,104_3.tif,560,296,uint8,True,,82.0,,82.0,,68.0,,66.0,,66.0,,0.0,-14.0,-14.0,-2.0,-16.0,0.0,-16.0
DB2_B,104_4.tif,560,296,uint8,True,,65.0,,65.0,,50.0,,59.0,,53.0,,0.0,-15.0,-15.0,9.0,-6.0,-6.0,-12.0
DB2_B,104_5.tif,560,296,uint8,True,,54.0,,54.0,,48.0,,50.0,,58.0,,0.0,-6.0,-6.0,2.0,-4.0,8.0,4.0
DB2_B,104_6.tif,560,296,uint8,True,,61.0,,61.0,,57.0,,62.0,,63.0,,0.0,-4.0,-4.0,5.0,1.0,1.0,2.0
DB2_B,104_7.tif,560,296,uint8,True,,69.0,,69.0,,54.0,,58.0,,51.0,,0.0,-15.0,-15.0,4.0,-11.0,-7.0,-18.0
DB2_B,104_8.tif,560,296,uint8,True,,17.0,,17.0,,18.0,,25.0,,38.0,,0.0,1.0,1.0,7.0,8.0,13.0,21.0
DB2_B,105_1.tif,560,296,uint8,True,,62.0,,62.0,,57.0,,61.0,,54.0,,0.0,-5.0,-5.0,4.0,-1.0,-7.0,-8.0
DB2_B,105_2.tif,560,296,uint8,True,,63.0,,63.0,,56.0,,68.0,,68.0,,0.0,-7.0,-7.0,12.0,5.0,0.0,5.0
DB2_B,105_3.tif,560,296,uint8,True,,59.0,,59.0,,52.0,,64.0,,61.0,,0.0,-7.0,-7.0,12.0,5.0,-3.0,2.0
DB2_B,105_4.tif,560,296,uint8,True,,56.0,,56.0,,51.0,,51.0,,53.0,,0.0,-5.0,-5.0,0.0,-5.0,2.0,-3.0
DB2_B,105_5.tif,560,296,uint8,True,,31.0,,31.0,,21.0,,33.0,,30.0,,0.0,-10.0,-10.0,12.0,2.0,-3.0,-1.0
DB2_B,105_6.tif,560,296,uint8,True,,52.0,,52.0,,49.0,,58.0,,62.0,,0.0,-3.0,-3.0,9.0,6.0,4.0,10.0
DB2_B,105_7.tif,560,296,uint8,True,,32.0,,32.0,,36.0,,43.0,,56.0,,0.0,4.0,4.0,7.0,11.0,13.0,24.0
DB2_B,105_8.tif,560,296,uint8,True,,38.0,,38.0,,38.0,,33.0,,49.0,,0.0,0.0,0.0,-5.0,-5.0,16.0,11.0
DB2_B,106_1.tif,560,296,uint8,True,,44.0,,44.0,,44.0,,67.0,,63.0,,0.0,0.0,0.0,23.0,23.0,-4.0,19.0
DB2_B,106_2.tif,560,296,uint8,True,,68.0,,68.0,,66.0,,69.0,,64.0,,0.0,-2.0,-2.0,3.0,1.0,-5.0,-4.0
DB2_B,106_3.tif,560,296,uint8,True,,66.0,,66.0,,52.0,,57.0,,59.0,,0.0,-14.0,-14.0,5.0,-9.0,2.0,-7.0
DB2_B,106_4.tif,560,296,uint8,True,,52.0,,52.0,,37.0,,47.0,,56.0,,0.0,-15.0,-15.0,10.0,-5.0,9.0,4.0
DB2_B,106_5.tif,560,296,uint8,True,,55.0,,55.0,,49.0,,56.0,,65.0,,0.0,-6.0,-6.0,7.0,1.0,9.0,10.0
DB2_B,106_6.tif,560,296,uint8,True,,43.0,,43.0,,56.0,,45.0,,53.0,,0.0,13.0,13.0,-11.0,2.0,8.0,10.0
DB2_B,106_7.tif,560,296,uint8,True,,59.0,,59.0,,58.0,,51.0,,53.0,,0.0,-1.0,-1.0,-7.0,-8.0,2.0,-6.0
DB2_B,106_8.tif,560,296,uint8,True,,50.0,,50.0,,56.0,,64.0,,73.0,,0.0,6.0,6.0,8.0,14.0,9.0,23.0
DB2_B,107_1.tif,560,296,uint8,True,,36.0,,36.0,,54.0,,59.0,,71.0,,0.0,18.0,18.0,5.0,23.0,12.0,35.0
DB2_B,107_2.tif,560,296,uint8,True,,64.0,,64.0,,66.0,,63.0,,71.0,,0.0,2.0,2.0,-3.0,-1.0,8.0,7.0
DB2_B,107_3.tif,560,296,uint8,True,,74.0,,74.0,,75.0,,70.0,,82.0,,0.0,1.0,1.0,-5.0,-4.0,12.0,8.0
DB2_B,107_4.tif,560,296,uint8,True,,64.0,,64.0,,66.0,,71.0,,70.0,,0.0,2.0,2.0,5.0,7.0,-1.0,6.0
DB2_B,107_5.tif,560,296,uint8,True,,34.0,,34.0,,37.0,,37.0,,47.0,,0.0,3.0,3.0,0.0,3.0,10.0,13.0
DB2_B,107_6.tif,560,296,uint8,True,,33.0,,33.0,,45.0,,38.0,,55.0,,0.0,12.0,12.0,-7.0,5.0,17.0,22.0
DB2_B,107_7.tif,560,296,uint8,True,,53.0,,53.0,,52.0,,60.0,,66.0,,0.0,-1.0,-1.0,8.0,7.0,6.0,13.0
DB2_B,107_8.tif,560,296,uint8,True,,66.0,,66.0,,69.0,,61.0,,72.0,,0.0,3.0,3.0,-8.0,-5.0,11.0,6.0
DB2_B,108_1.tif,560,296,uint8,True,,61.0,,61.0,,66.0,,63.0,,68.0,,0.0,5.0,5.0,-3.0,2.0,5.0,7.0
DB2_B,108_2.tif,560,296,uint8,True,,58.0,,58.0,,69.0,,80.0,,80.0,,0.0,11.0,11.0,11.0,22.0,0.0,22.0
DB2_B,108_3.tif,560,296,uint8,True,,46.0,,46.0,,44.0,,40.0,,46.0,,0.0,-2.0,-2.0,-4.0,-6.0,6.0,0.0
DB2_B,108_4.tif,560,296,uint8,True,,55.0,,55.0,,66.0,,68.0,,66.0,,0.0,11.0,11.0,2.0,13.0,-2.0,11.0
DB2_B,108_5.tif,560,296,uint8,True,,52.0,,52.0,,49.0,,49.0,,57.0,,0.0,-3.0,-3.0,0.0,-3.0,8.0,5.0
DB2_B,108_6.tif,560,296,uint8,True,,58.0,,58.0,,59.0,,58.0,,59.0,,0.0,1.0,1.0,-1.0,0.0,1.0,1.0
DB2_B,108_7.tif,560,296,uint8,True,,68.0,,68.0,,64.0,,62.0,,60.0,,0.0,-4.0,-4.0,-2.0,-6.0,-2.0,-8.0
DB2_B,108_8.tif,560,296,uint8,True,,35.0,,35.0,,42.0,,45.0,,60.0,,0.0,7.0,7.0,3.0,10.0,15.0,25.0
DB2_B,109_1.tif,560,296,uint8,True,,32.0,,32.0,,26.0,,25.0,,23.0,,0.0,-6.0,-6.0,-1.0,-7.0,-2.0,-9.0
DB2_B,109_2.tif,560,296,uint8,True,,47.0,,47.0,,44.0,,42.0,,51.0,,0.0,-3.0,-3.0,-2.0,-5.0,9.0,4.0
DB2_B,109_3.tif,560,296,uint8,True,,48.0,,48.0,,43.0,,61.0,,62.0,,0.0,-5.0,-5.0,18.0,13.0,1.0,14.0
DB2_B,109_4.tif,560,296,uint8,True,,41.0,,41.0,,63.0,,54.0,,46.0,,0.0,22.0,22.0,-9.0,13.0,-8.0,5.0
DB2_B,109_5.tif,560,296,uint8,True,,52.0,,52.0,,50.0,,50.0,,44.0,,0.0,-2.0,-2.0,0.0,-2.0,-6.0,-8.0
DB2_B,109_6.tif,560,296,uint8,True,,17.0,,17.0,,24.0,,33.0,,33.0,,0.0,7.0,7.0,9.0,16.0,0.0,16.0
DB2_B,109_7.tif,560,296,uint8,True,,21.0,,21.0,,29.0,,44.0,,46.0,,0.0,8.0,8.0,15.0,23.0,2.0,25.0
DB2_B,109_8.tif,560,296,uint8,True,,9.0,,9.0,,16.0,,10.0,,14.0,,0.0,7.0,7.0,-6.0,1.0,4.0,5.0
DB2_B,110_1.tif,560,296,uint8,True,,47.0,,47.0,,42.0,,45.0,,55.0,,0.0,-5.0,-5.0,3.0,-2.0,10.0,8.0
DB2_B,110_2.tif,560,296,uint8,True,,43.0,,43.0,,34.0,,35.0,,43.0,,0.0,-9.0,-9.0,1.0,-8.0,8.0,0.0
DB2_B,110_3.tif,560,296,uint8,True,,33.0,,33.0,,34.0,,44.0,,42.0,,0.0,1.0,1.0,10.0,11.0,-2.0,9.0
DB2_B,110_4.tif,560,296,uint8,True,,30.0,,30.0,,32.0,,26.0,,38.0,,0.0,2.0,2.0,-6.0,-4.0,12.0,8.0
DB2_B,110_5.tif,560,296,uint8,True,,33.0,,33.0,,24.0,,28.0,,31.0,,0.0,-9.0,-9.0,4.0,-5.0,3.0,-2.0
DB2_B,110_6.tif,560,296,uint8,True,,24.0,,24.0,,27.0,,17.0,,29.0,,0.0,3.0,3.0,-10.0,-7.0,12.0,5.0
DB2_B,110_7.tif,560,296,uint8,True,,26.0,,26.0,,26.0,,37.0,,46.0,,0.0,0.0,0.0,11.0,11.0,9.0,20.0
DB2_B,110_8.tif,560,296,uint8,True,,10.0,,10.0,,8.0,,15.0,,23.0,,0.0,-2.0,-2.0,7.0,5.0,8.0,13.0
DB3_B,101_1.tif,300,300,uint8,True,,40.0,,40.0,,31.0,,34.0,,51.0,,0.0,-9.0,-9.0,3.0,-6.0,17.0,11.0
DB3_B,101_2.tif,300,300,uint8,True,,32.0,,32.0,,39.0,,36.0,,51.0,,0.0,7.0,7.0,-3.0,4.0,15.0,19.0
DB3_B,101_3.tif,300,300,uint8,True,,38.0,,38.0,,38.0,,38.0,,43.0,,0.0,0.0,0.0,0.0,0.0,5.0,5.0
DB3_B,101_4.tif,300,300,uint8,True,,17.0,,17.0,,10.0,,32.0,,36.0,,0.0,-7.0,-7.0,22.0,15.0,4.0,19.0
DB3_B,101_5.tif,300,300,uint8,True,,42.0,,42.0,,49.0,,32.0,,44.0,,0.0,7.0,7.0,-17.0,-10.0,12.0,2.0
