database,filename,stage,nfiq2,error,scored_path,height,width,dtype
DB1_B,106_8.tif,step0,71.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_8.tif,stage1,72.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_8.tif,stage2,78.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,106_8.tif,stage3,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_1.tif,raw,71.0,,data\raw\DB1_B\107_1.tif,374,388,uint8
DB1_B,107_1.tif,step0,71.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_1.tif,stage1,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_1.tif,stage2,61.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_1.tif,stage3,85.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_2.tif,raw,74.0,,data\raw\DB1_B\107_2.tif,374,388,uint8
DB1_B,107_2.tif,step0,74.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_2.tif,stage1,74.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_2.tif,stage2,65.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_2.tif,stage3,70.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_3.tif,raw,54.0,,data\raw\DB1_B\107_3.tif,374,388,uint8
DB1_B,107_3.tif,step0,54.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_3.tif,stage1,67.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_3.tif,stage2,72.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_3.tif,stage3,66.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_4.tif,raw,73.0,,data\raw\DB1_B\107_4.tif,374,388,uint8
DB1_B,107_4.tif,step0,73.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_4.tif,stage1,84.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_4.tif,stage2,63.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_4.tif,stage3,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_5.tif,raw,60.0,,data\raw\DB1_B\107_5.tif,374,388,uint8
DB1_B,107_5.tif,step0,60.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_5.tif,stage1,55.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_5.tif,stage2,60.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_5.tif,stage3,54.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_6.tif,raw,73.0,,data\raw\DB1_B\107_6.tif,374,388,uint8
DB1_B,107_6.tif,step0,73.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_6.tif,stage1,79.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_6.tif,stage2,76.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_6.tif,stage3,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_7.tif,raw,76.0,,data\raw\DB1_B\107_7.tif,374,388,uint8
DB1_B,107_7.tif,step0,76.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_7.tif,stage1,69.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_7.tif,stage2,79.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_7.tif,stage3,61.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_8.tif,raw,51.0,,data\raw\DB1_B\107_8.tif,374,388,uint8
DB1_B,107_8.tif,step0,51.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_8.tif,stage1,67.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_8.tif,stage2,64.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,107_8.tif,stage3,66.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,108_1.tif,raw,71.0,,data\raw\DB1_B\108_1.tif,374,388,uint8
DB1_B,108_1.tif,step0,71.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,108_1.tif,stage1,75.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,108_1.tif,stage2,78.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,108_1.tif,stage3,81.0,,temporary original-size grayscale uint8 TIFF,374,388,uint8
DB1_B,108_2.tif,raw,79.0,,data\raw\DB1_B\108_2.tif,374,388,uint8
