variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
v2b_minus_p2,DB1_B,105_3.tif,77.0,,78.0,,1.0
v2b_minus_p6,DB1_B,105_3.tif,77.0,,76.0,,-1.0
v2a_minus_p1,DB1_B,105_4.tif,55.0,,45.0,,-10.0
v2a_minus_p2,DB1_B,105_4.tif,55.0,,54.0,,-1.0
v2a_minus_p6,DB1_B,105_4.tif,55.0,,56.0,,1.0
v2b_minus_p1,DB1_B,105_4.tif,55.0,,60.0,,5.0
v2b_minus_p2,DB1_B,105_4.tif,55.0,,52.0,,-3.0
v2b_minus_p6,DB1_B,105_4.tif,55.0,,54.0,,-1.0
v2a_minus_p1,DB1_B,105_5.tif,64.0,,55.0,,-9.0
v2a_minus_p2,DB1_B,105_5.tif,64.0,,68.0,,4.0
v2a_minus_p6,DB1_B,105_5.tif,64.0,,51.0,,-13.0
v2b_minus_p1,DB1_B,105_5.tif,64.0,,63.0,,-1.0
v2b_minus_p2,DB1_B,105_5.tif,64.0,,64.0,,0.0
v2b_minus_p6,DB1_B,105_5.tif,64.0,,64.0,,0.0
v2a_minus_p1,DB1_B,105_6.tif,50.0,,42.0,,-8.0
v2a_minus_p2,DB1_B,105_6.tif,50.0,,29.0,,-21.0
v2a_minus_p6,DB1_B,105_6.tif,50.0,,36.0,,-14.0
v2b_minus_p1,DB1_B,105_6.tif,50.0,,43.0,,-7.0
v2b_minus_p2,DB1_B,105_6.tif,50.0,,42.0,,-8.0
v2b_minus_p6,DB1_B,105_6.tif,50.0,,47.0,,-3.0
v2a_minus_p1,DB1_B,105_7.tif,73.0,,56.0,,-17.0
v2a_minus_p2,DB1_B,105_7.tif,73.0,,64.0,,-9.0
v2a_minus_p6,DB1_B,105_7.tif,73.0,,59.0,,-14.0
v2b_minus_p1,DB1_B,105_7.tif,73.0,,58.0,,-15.0
v2b_minus_p2,DB1_B,105_7.tif,73.0,,62.0,,-11.0
v2b_minus_p6,DB1_B,105_7.tif,73.0,,73.0,,0.0
v2a_minus_p1,DB1_B,105_8.tif,64.0,,45.0,,-19.0
v2a_minus_p2,DB1_B,105_8.tif,64.0,,46.0,,-18.0
v2a_minus_p6,DB1_B,105_8.tif,64.0,,48.0,,-16.0
v2b_minus_p1,DB1_B,105_8.tif,64.0,,62.0,,-2.0
v2b_minus_p2,DB1_B,105_8.tif,64.0,,54.0,,-10.0
v2b_minus_p6,DB1_B,105_8.tif,64.0,,49.0,,-15.0
v2a_minus_p1,DB1_B,106_1.tif,81.0,,57.0,,-24.0
v2a_minus_p2,DB1_B,106_1.tif,81.0,,73.0,,-8.0
v2a_minus_p6,DB1_B,106_1.tif,81.0,,65.0,,-16.0
v2b_minus_p1,DB1_B,106_1.tif,81.0,,83.0,,2.0
v2b_minus_p2,DB1_B,106_1.tif,81.0,,72.0,,-9.0
v2b_minus_p6,DB1_B,106_1.tif,81.0,,80.0,,-1.0
v2a_minus_p1,DB1_B,106_2.tif,73.0,,56.0,,-17.0
v2a_minus_p2,DB1_B,106_2.tif,73.0,,55.0,,-18.0
v2a_minus_p6,DB1_B,106_2.tif,73.0,,56.0,,-17.0
v2b_minus_p1,DB1_B,106_2.tif,73.0,,76.0,,3.0
v2b_minus_p2,DB1_B,106_2.tif,73.0,,76.0,,3.0
v2b_minus_p6,DB1_B,106_2.tif,73.0,,81.0,,8.0
v2a_minus_p1,DB1_B,106_3.tif,79.0,,64.0,,-15.0
v2a_minus_p2,DB1_B,106_3.tif,79.0,,76.0,,-3.0
v2a_minus_p6,DB1_B,106_3.tif,79.0,,64.0,,-15.0
v2b_minus_p1,DB1_B,106_3.tif,79.0,,79.0,,0.0
v2b_minus_p2,DB1_B,106_3.tif,79.0,,87.0,,8.0
v2b_minus_p6,DB1_B,106_3.tif,79.0,,75.0,,-4.0
v2a_minus_p1,DB1_B,106_4.tif,77.0,,58.0,,-19.0
v2a_minus_p2,DB1_B,106_4.tif,77.0,,65.0,,-12.0
v2a_minus_p6,DB1_B,106_4.tif,77.0,,61.0,,-16.0
v2b_minus_p1,DB1_B,106_4.tif,77.0,,70.0,,-7.0
v2b_minus_p2,DB1_B,106_4.tif,77.0,,72.0,,-5.0
v2b_minus_p6,DB1_B,106_4.tif,77.0,,86.0,,9.0
v2a_minus_p1,DB1_B,106_5.tif,71.0,,66.0,,-5.0
v2a_minus_p2,DB1_B,106_5.tif,71.0,,63.0,,-8.0
v2a_minus_p6,DB1_B,106_5.tif,71.0,,61.0,,-10.0
v2b_minus_p1,DB1_B,106_5.tif,71.0,,83.0,,12.0
v2b_minus_p2,DB1_B,106_5.tif,71.0,,65.0,,-6.0
v2b_minus_p6,DB1_B,106_5.tif,71.0,,86.0,,15.0
v2a_minus_p1,DB1_B,106_6.tif,72.0,,61.0,,-11.0
v2a_minus_p2,DB1_B,106_6.tif,72.0,,60.0,,-12.0
v2a_minus_p6,DB1_B,106_6.tif,72.0,,55.0,,-17.0
v2b_minus_p1,DB1_B,106_6.tif,72.0,,82.0,,10.0
v2b_minus_p2,DB1_B,106_6.tif,72.0,,68.0,,-4.0
v2b_minus_p6,DB1_B,106_6.tif,72.0,,79.0,,7.0
v2a_minus_p1,DB1_B,106_7.tif,76.0,,67.0,,-9.0
v2a_minus_p2,DB1_B,106_7.tif,76.0,,77.0,,1.0
v2a_minus_p6,DB1_B,106_7.tif,76.0,,72.0,,-4.0
v2b_minus_p1,DB1_B,106_7.tif,76.0,,68.0,,-8.0
v2b_minus_p2,DB1_B,106_7.tif,76.0,,76.0,,0.0
v2b_minus_p6,DB1_B,106_7.tif,76.0,,80.0,,4.0
v2a_minus_p1,DB1_B,106_8.tif,71.0,,58.0,,-13.0
v2a_minus_p2,DB1_B,106_8.tif,71.0,,68.0,,-3.0
v2a_minus_p6,DB1_B,106_8.tif,71.0,,53.0,,-18.0
v2b_minus_p1,DB1_B,106_8.tif,71.0,,72.0,,1.0
v2b_minus_p2,DB1_B,106_8.tif,71.0,,71.0,,0.0
v2b_minus_p6,DB1_B,106_8.tif,71.0,,80.0,,9.0
v2a_minus_p1,DB1_B,107_1.tif,71.0,,69.0,,-2.0
v2a_minus_p2,DB1_B,107_1.tif,71.0,,75.0,,4.0
v2a_minus_p6,DB1_B,107_1.tif,71.0,,69.0,,-2.0
v2b_minus_p1,DB1_B,107_1.tif,71.0,,72.0,,1.0
v2b_minus_p2,DB1_B,107_1.tif,71.0,,70.0,,-1.0
v2b_minus_p6,DB1_B,107_1.tif,71.0,,77.0,,6.0
v2a_minus_p1,DB1_B,107_2.tif,74.0,,69.0,,-5.0
v2a_minus_p2,DB1_B,107_2.tif,74.0,,63.0,,-11.0
v2a_minus_p6,DB1_B,107_2.tif,74.0,,60.0,,-14.0
v2b_minus_p1,DB1_B,107_2.tif,74.0,,67.0,,-7.0
v2b_minus_p2,DB1_B,107_2.tif,74.0,,68.0,,-6.0
v2b_minus_p6,DB1_B,107_2.tif,74.0,,74.0,,0.0
v2a_minus_p1,DB1_B,107_3.tif,54.0,,75.0,,21.0
v2a_minus_p2,DB1_B,107_3.tif,54.0,,64.0,,10.0
v2a_minus_p6,DB1_B,107_3.tif,54.0,,68.0,,14.0
v2b_minus_p1,DB1_B,107_3.tif,54.0,,77.0,,23.0
v2b_minus_p2,DB1_B,107_3.tif,54.0,,76.0,,22.0
v2b_minus_p6,DB1_B,107_3.tif,54.0,,75.0,,21.0
v2a_minus_p1,DB1_B,107_4.tif,73.0,,67.0,,-6.0
v2a_minus_p2,DB1_B,107_4.tif,73.0,,69.0,,-4.0
v2a_minus_p6,DB1_B,107_4.tif,73.0,,66.0,,-7.0
v2b_minus_p1,DB1_B,107_4.tif,73.0,,59.0,,-14.0
v2b_minus_p2,DB1_B,107_4.tif,73.0,,77.0,,4.0
v2b_minus_p6,DB1_B,107_4.tif,73.0,,72.0,,-1.0
v2a_minus_p1,DB1_B,107_5.tif,60.0,,52.0,,-8.0
v2a_minus_p2,DB1_B,107_5.tif,60.0,,43.0,,-17.0
v2a_minus_p6,DB1_B,107_5.tif,60.0,,55.0,,-5.0
v2b_minus_p1,DB1_B,107_5.tif,60.0,,57.0,,-3.0
v2b_minus_p2,DB1_B,107_5.tif,60.0,,55.0,,-5.0
v2b_minus_p6,DB1_B,107_5.tif,60.0,,58.0,,-2.0
v2a_minus_p1,DB1_B,107_6.tif,73.0,,62.0,,-11.0
v2a_minus_p2,DB1_B,107_6.tif,73.0,,71.0,,-2.0
v2a_minus_p6,DB1_B,107_6.tif,73.0,,59.0,,-14.0
v2b_minus_p1,DB1_B,107_6.tif,73.0,,76.0,,3.0
v2b_minus_p2,DB1_B,107_6.tif,73.0,,79.0,,6.0
v2b_minus_p6,DB1_B,107_6.tif,73.0,,86.0,,13.0
v2a_minus_p1,DB1_B,107_7.tif,76.0,,67.0,,-9.0
v2a_minus_p2,DB1_B,107_7.tif,76.0,,63.0,,-13.0
v2a_minus_p6,DB1_B,107_7.tif,76.0,,64.0,,-12.0
v2b_minus_p1,DB1_B,107_7.tif,76.0,,71.0,,-5.0
v2b_minus_p2,DB1_B,107_7.tif,76.0,,66.0,,-10.0
v2b_minus_p6,DB1_B,107_7.tif,76.0,,80.0,,4.0
v2a_minus_p1,DB1_B,107_8.tif,51.0,,46.0,,-5.0
v2a_minus_p2,DB1_B,107_8.tif,51.0,,51.0,,0.0
v2a_minus_p6,DB1_B,107_8.tif,51.0,,48.0,,-3.0
v2b_minus_p1,DB1_B,107_8.tif,51.0,,58.0,,7.0
v2b_minus_p2,DB1_B,107_8.tif,51.0,,50.0,,-1.0
v2b_minus_p6,DB1_B,107_8.tif,51.0,,41.0,,-10.0
v2a_minus_p1,DB1_B,108_1.tif,71.0,,71.0,,0.0
v2a_minus_p2,DB1_B,108_1.tif,71.0,,64.0,,-7.0
v2a_minus_p6,DB1_B,108_1.tif,71.0,,64.0,,-7.0
v2b_minus_p1,DB1_B,108_1.tif,71.0,,68.0,,-3.0
v2b_minus_p2,DB1_B,108_1.tif,71.0,,83.0,,12.0
v2b_minus_p6,DB1_B,108_1.tif,71.0,,75.0,,4.0
v2a_minus_p1,DB1_B,108_2.tif,79.0,,62.0,,-17.0
