database,filename,relative_path,raw_nfiq2,stage1_p1_nfiq2,stage2_p1_p2_nfiq2,stage3_p1_p2_p6_nfiq2,delta_p1,delta_p2,delta_p6,delta_final,processing_status,error,raw_error,stage1_error,stage2_error,stage3_error,stage3_equals_enhance,shape,dtype,processing_seconds,scoring_seconds,total_seconds
DB2_B,103_3.tif,data/raw/DB2_B/103_3.tif,56.0,68.0,64.0,67.0,12.0,-4.0,3.0,11.0,success,,,,,,True,560x296,uint8,0.06416570000146748,1.6465704000002006,1.7113847000000533
DB2_B,103_4.tif,data/raw/DB2_B/103_4.tif,55.0,61.0,61.0,61.0,6.0,0.0,0.0,6.0,success,,,,,,True,560x296,uint8,0.06397629999992205,1.6581678000002285,1.7227955999987898
DB2_B,103_5.tif,data/raw/DB2_B/103_5.tif,40.0,46.0,46.0,52.0,6.0,0.0,6.0,12.0,success,,,,,,True,560x296,uint8,0.06377929999871412,1.6529089999967255,1.7173301000002539
DB2_B,103_6.tif,data/raw/DB2_B/103_6.tif,48.0,60.0,60.0,62.0,12.0,0.0,2.0,14.0,success,,,,,,True,560x296,uint8,0.06660169999668142,1.6500063999992562,1.717233399998804
DB2_B,103_7.tif,data/raw/DB2_B/103_7.tif,49.0,58.0,58.0,56.0,9.0,0.0,-2.0,7.0,success,,,,,,True,560x296,uint8,0.062114299995300826,1.6599298000001,1.7225999999936903
DB2_B,103_8.tif,data/raw/DB2_B/103_8.tif,38.0,51.0,51.0,51.0,13.0,0.0,0.0,13.0,success,,,,,,True,560x296,uint8,0.06103609999991022,1.6396343000014895,1.7012185000057798
DB2_B,104_1.tif,data/raw/DB2_B/104_1.tif,58.0,60.0,60.0,67.0,2.0,0.0,7.0,9.0,success,,,,,,True,560x296,uint8,0.06242009999550646,1.6497122000000672,1.7128711000041221
DB2_B,104_2.tif,data/raw/DB2_B/104_2.tif,64.0,75.0,75.0,71.0,11.0,0.0,-4.0,7.0,success,,,,,,True,560x296,uint8,0.06359130000055302,1.6435319999945932,1.7077580999975908
DB2_B,104_3.tif,data/raw/DB2_B/104_3.tif,82.0,72.0,72.0,68.0,-10.0,0.0,-4.0,-14.0,success,,,,,,True,560x296,uint8,0.06550419999985024,1.6442338000051677,1.7106191999992006
DB2_B,104_4.tif,data/raw/DB2_B/104_4.tif,65.0,65.0,65.0,62.0,0.0,0.0,-3.0,-3.0,success,,,,,,True,560x296,uint8,0.06051799999841023,1.656239199997799,1.7173733999952674
DB2_B,104_5.tif,data/raw/DB2_B/104_5.tif,54.0,64.0,64.0,61.0,10.0,0.0,-3.0,7.0,success,,,,,,True,560x296,uint8,0.06285009999555768,1.6643722000007983,1.7277679000035278
