variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
minus_p2,DB1_B,109_5.tif,57.0,,57.0,,0.0
minus_p6,DB1_B,109_5.tif,57.0,,43.0,,-14.0
minus_p1,DB1_B,109_6.tif,15.0,,17.0,,2.0
minus_p2,DB1_B,109_6.tif,15.0,,30.0,,15.0
minus_p6,DB1_B,109_6.tif,15.0,,19.0,,4.0
minus_p1,DB1_B,109_7.tif,65.0,,68.0,,3.0
minus_p2,DB1_B,109_7.tif,65.0,,66.0,,1.0
minus_p6,DB1_B,109_7.tif,65.0,,72.0,,7.0
minus_p1,DB1_B,109_8.tif,33.0,,28.0,,-5.0
minus_p2,DB1_B,109_8.tif,33.0,,35.0,,2.0
minus_p6,DB1_B,109_8.tif,33.0,,27.0,,-6.0
minus_p1,DB1_B,110_1.tif,49.0,,52.0,,3.0
minus_p2,DB1_B,110_1.tif,49.0,,49.0,,0.0
minus_p6,DB1_B,110_1.tif,49.0,,49.0,,0.0
minus_p1,DB1_B,110_2.tif,53.0,,61.0,,8.0
minus_p2,DB1_B,110_2.tif,53.0,,61.0,,8.0
minus_p6,DB1_B,110_2.tif,53.0,,62.0,,9.0
minus_p1,DB1_B,110_3.tif,53.0,,74.0,,21.0
minus_p2,DB1_B,110_3.tif,53.0,,54.0,,1.0
minus_p6,DB1_B,110_3.tif,53.0,,55.0,,2.0
minus_p1,DB1_B,110_4.tif,51.0,,67.0,,16.0
minus_p2,DB1_B,110_4.tif,51.0,,55.0,,4.0
minus_p6,DB1_B,110_4.tif,51.0,,64.0,,13.0
minus_p1,DB1_B,110_5.tif,55.0,,60.0,,5.0
minus_p2,DB1_B,110_5.tif,55.0,,50.0,,-5.0
minus_p6,DB1_B,110_5.tif,55.0,,52.0,,-3.0
minus_p1,DB1_B,110_6.tif,54.0,,42.0,,-12.0
minus_p2,DB1_B,110_6.tif,54.0,,62.0,,8.0
minus_p6,DB1_B,110_6.tif,54.0,,60.0,,6.0
