variant,db,file,raw_nfiq2,raw_error,stage1_nfiq2,stage1_error,stage2_nfiq2,stage2_error,stage3_nfiq2,stage3_error,delta_p1,delta_p2,delta_p6,delta_final
v2b,DB2_B,103_8.tif,38.0,,51.0,,51.0,,59.0,,13.0,0.0,8.0,21.0
v2a,DB2_B,104_1.tif,58.0,,69.0,,63.0,,60.0,,11.0,-6.0,-3.0,2.0
v2b,DB2_B,104_1.tif,58.0,,60.0,,60.0,,64.0,,2.0,0.0,4.0,6.0
v2a,DB2_B,104_2.tif,64.0,,60.0,,60.0,,51.0,,-4.0,0.0,-9.0,-13.0
v2b,DB2_B,104_2.tif,64.0,,75.0,,75.0,,62.0,,11.0,0.0,-13.0,-2.0
v2a,DB2_B,104_3.tif,82.0,,76.0,,70.0,,62.0,,-6.0,-6.0,-8.0,-20.0
v2b,DB2_B,104_3.tif,82.0,,72.0,,72.0,,65.0,,-10.0,0.0,-7.0,-17.0
v2a,DB2_B,104_4.tif,65.0,,75.0,,62.0,,61.0,,10.0,-13.0,-1.0,-4.0
v2b,DB2_B,104_4.tif,65.0,,65.0,,65.0,,62.0,,0.0,0.0,-3.0,-3.0
v2a,DB2_B,104_5.tif,54.0,,55.0,,53.0,,53.0,,1.0,-2.0,0.0,-1.0
v2b,DB2_B,104_5.tif,54.0,,64.0,,64.0,,60.0,,10.0,0.0,-4.0,6.0
v2a,DB2_B,104_6.tif,61.0,,62.0,,69.0,,63.0,,1.0,7.0,-6.0,2.0
v2b,DB2_B,104_6.tif,61.0,,59.0,,59.0,,65.0,,-2.0,0.0,6.0,4.0
v2a,DB2_B,104_7.tif,69.0,,52.0,,48.0,,46.0,,-17.0,-4.0,-2.0,-23.0
v2b,DB2_B,104_7.tif,69.0,,55.0,,55.0,,51.0,,-14.0,0.0,-4.0,-18.0
v2a,DB2_B,104_8.tif,17.0,,38.0,,46.0,,54.0,,21.0,8.0,8.0,37.0
v2b,DB2_B,104_8.tif,17.0,,19.0,,19.0,,23.0,,2.0,0.0,4.0,6.0
v2a,DB2_B,105_1.tif,62.0,,71.0,,80.0,,71.0,,9.0,9.0,-9.0,9.0
v2b,DB2_B,105_1.tif,62.0,,59.0,,59.0,,54.0,,-3.0,0.0,-5.0,-8.0
v2a,DB2_B,105_2.tif,63.0,,63.0,,60.0,,68.0,,0.0,-3.0,8.0,5.0
v2b,DB2_B,105_2.tif,63.0,,45.0,,45.0,,65.0,,-18.0,0.0,20.0,2.0
v2a,DB2_B,105_3.tif,59.0,,59.0,,68.0,,62.0,,0.0,9.0,-6.0,3.0
v2b,DB2_B,105_3.tif,59.0,,59.0,,59.0,,58.0,,0.0,0.0,-1.0,-1.0
v2a,DB2_B,105_4.tif,56.0,,55.0,,60.0,,51.0,,-1.0,5.0,-9.0,-5.0
v2b,DB2_B,105_4.tif,56.0,,77.0,,77.0,,61.0,,21.0,0.0,-16.0,5.0
v2a,DB2_B,105_5.tif,31.0,,29.0,,37.0,,38.0,,-2.0,8.0,1.0,7.0
v2b,DB2_B,105_5.tif,31.0,,29.0,,29.0,,33.0,,-2.0,0.0,4.0,2.0
v2a,DB2_B,105_6.tif,52.0,,52.0,,70.0,,62.0,,0.0,18.0,-8.0,10.0
